Pseudociencia,Palabra,Frecuencia
Acupuntura,desperate.,645.0
Acupuntura,Other,323.0
Acupuntura,any less,257.0
Acupuntura,past,184.0
Acupuntura,sucker,164.0
Acupuntura,CENTER,140.0
Acupuntura,center,137.0
Acupuntura,little bit,132.0
Acupuntura,other,132.0
Acupuntura,single,128.0
Acupuntura,other,122.0
Acupuntura,suckers,77.0
Acupuntura,mental,77.0
Acupuntura,everyday,69.0
Acupuntura,antibiotics ... sick.,68.0
Acupuntura,suckers,48.0
Acupuntura,conventional,33.0
Acupuntura,previously.,30.0
Acupuntura,other.,30.0
Biodescodificacion,to mean,438.0
Biodescodificacion,past,74.0
Biodescodificacion,dangerous,56.0
Biodescodificacion,base,56.0
Biodescodificacion,complaint,50.0
Biodescodificacion,mental,45.0
Biodescodificacion,other,36.0
Biodescodificacion,mental,36.0
Biodescodificacion,dangerous,34.0
Biodescodificacion,worse,34.0
Biodescodificacion,difficult,32.0
Desarrollo psicosexual,Complex,32.0
Logoterapia,center,56.0
Logoterapia,single,45.0
Logoterapia,used to,43.0
Logoterapia,suffers,35.0
Logoterapia,We killed.,35.0
Numerologia_inco,failure,2333.0
Numerologia_inco,Evil,922.0
Numerologia_inco,other,467.0
Numerologia_inco,Careful,429.0
Numerologia_inco,impossible ... how,422.0
Numerologia_inco,impossible..,422.0
Numerologia_inco,Hidden,321.0
Numerologia_inco,we go down,222.0
Numerologia_inco,base,193.0
Numerologia_inco,any less,173.0
Numerologia_inco,evil,135.0
Numerologia_inco,(sorry,116.0
Numerologia_inco,other,116.0
Numerologia_inco,(Artificial,114.0
Numerologia_inco,little bit,99.0
Numerologia_inco,single,94.0
Numerologia_inco,MISSING,87.0
Numerologia_inco,other,81.0
Numerologia_inco,Mental,75.0
Numerologia_inco,single,72.0
Numerologia_inco,shit,69.0
Numerologia_inco,complex,62.0
Numerologia_inco,hidden,59.0
Numerologia_inco,little,59.0
Numerologia_inco,bass,58.0
Numerologia_inco,due,55.0
Numerologia_inco,half,52.0
Numerologia_inco,AT THE,51.0
Numerologia_inco,worst,50.0
Numerologia_inco,broken,47.0
Numerologia_inco,shocked,47.0
Numerologia_inco,failure.,45.0
Numerologia_inco,destroy,43.0
Numerologia_inco,crazy,41.0
Numerologia_inco,Shit,41.0
Numerologia_inco,expected,40.0
Numerologia_inco,Evil,38.0
Numerologia_inco,#mental,36.0
Numerologia_inco,serious,36.0
Numerologia_inco,fucking,35.0
Numerologia_inco,difficult,34.0
Numerologia_inco,obsessed,34.0
Numerologia_inco,single,34.0
Numerologia_inco,behind,30.0
Parapsicologia,mediocrity,972.0
Parapsicologia,unfair,134.0
Parapsicologia,unfairly,134.0
Parapsicologia,Terrifying,63.0
Parapsicologia,Late,58.0
Parapsicologia,Frightening,55.0
Parapsicologia,little bit,47.0
Parapsicologia,other,32.0
Parapsicologia,They will be missing.,32.0
Parapsicologia,#evil,30.0
Parapsicologia,Nevertheless,30.0
Programacion neurolinguistica,mental,118.0
Programacion neurolinguistica,mental,97.0
Programacion neurolinguistica,obstacles,69.0
Programacion neurolinguistica,shit,41.0
Psicoanalisis,any less,1171.0
Psicoanalisis,other,856.0
Psicoanalisis,little bit,764.0
Psicoanalisis,other,746.0
Psicoanalisis,mental,522.0
Psicoanalisis,shit,479.0
Psicoanalisis,subject,365.0
Psicoanalisis,Mental,337.0
Psicoanalisis,past,318.0
Psicoanalisis,partial,316.0
Psicoanalisis,single,220.0
Psicoanalisis,bass,197.0
