Pseudociencia,Palabra,Frecuencia,Frecuencia_Limpia
astrologia,much,"585,",585.0
astrologia,many,"517,",517.0
astrologia,real,""",171,",171.0
astrologia,top,"150,",150.0
astrologia,good ones,"93,",93.0
astrologia,fast,"55,",55.0
astrologia,TRUE.,"45,",45.0
astrologia,full,"38,",38.0
astrologia,Full,"33,",33.0
astrologia,funny,"32,",32.0
astrologia,,",",0.0
astrologia,,",",0.0
astrologia,,",",0.0
astrologia,,",",0.0
astrologia,,",",0.0
astrologia,,",",0.0
astrologia,,",",0.0
astrologia,,",",0.0
astrologia,,",",0.0
